team_id,team_name,season_id,season_name,season_year,matches_played,total_yellow_cards,yellow_cards_per_game,total_red_cards,total_fouls,fouls_per_game,total_offsides,offsides_per_game,total_free_kicks,free_kicks_per_game
5065,MKS Korona Kielce,42004,Ekstraklasa 22/23,22/23,32,80,2.50,3,458,14.31,46,1.44,380,11.88
3108,Śląsk Wrocław,42004,Ekstraklasa 22/23,22/23,33,79,2.39,4,395,11.97,43,1.30,400,12.12
35268,Raków Częstochowa,42004,Ekstraklasa 22/23,22/23,33,77,2.33,3,463,14.03,62,1.88,443,13.42
3121,Lech Poznań,42004,Ekstraklasa 22/23,22/23,33,73,2.21,2,442,13.39,45,1.36,403,12.21
3117,Pogoń Szczecin,42004,Ekstraklasa 22/23,22/23,33,70,2.12,1,382,11.58,48,1.45,341,10.33
4901,Cracovia,42004,Ekstraklasa 22/23,22/23,32,70,2.19,3,395,12.34,36,1.13,335,10.47
7922,Warta Poznań,42004,Ekstraklasa 22/23,22/23,32,69,2.16,1,416,13.00,47,1.47,380,11.88
7913,KS Lechia Gdańsk,42004,Ekstraklasa 22/23,22/23,33,69,2.09,1,383,11.61,73,2.21,378,11.45
3122,Wisła Płock,42004,Ekstraklasa 22/23,22/23,32,67,2.09,4,384,12.00,72,2.25,400,12.50
7918,Piast Gliwice,42004,Ekstraklasa 22/23,22/23,33,63,1.91,2,421,12.76,57,1.73,442,13.39
38732,Stal Mielec,42004,Ekstraklasa 22/23,22/23,33,58,1.76,3,397,12.03,44,1.33,497,15.06
3113,Zagłębie Lubin,42004,Ekstraklasa 22/23,22/23,33,49,1.48,2,405,12.27,39,1.18,363,11.00
3115,Widzew Łódź,42004,Ekstraklasa 22/23,22/23,32,46,1.44,0,365,11.41,57,1.78,339,10.59
3106,Legia Warszawa,37062,Ekstraklasa 21/22,21/22,33,94,2.85,5,493,14.94,44,1.33,496,15.03
3122,Wisła Płock,37062,Ekstraklasa 21/22,21/22,33,93,2.82,5,487,14.76,46,1.39,479,14.52
7691,Jagiellonia Białystok,37062,Ekstraklasa 21/22,21/22,33,85,2.58,3,512,15.52,72,2.18,395,11.97
3113,Zagłębie Lubin,37062,Ekstraklasa 21/22,21/22,32,82,2.56,4,473,14.78,46,1.44,348,10.88
36851,Bruk-Bet Termalica Nieciecza,37062,Ekstraklasa 21/22,21/22,33,78,2.36,1,432,13.09,56,1.70,472,14.30
38732,Stal Mielec,37062,Ekstraklasa 21/22,21/22,32,75,2.34,3,366,11.44,53,1.66,523,16.34
35268,Raków Częstochowa,37062,Ekstraklasa 21/22,21/22,33,75,2.27,4,444,13.45,58,1.76,514,15.58
7913,KS Lechia Gdańsk,37062,Ekstraklasa 21/22,21/22,33,73,2.21,1,495,15.00,56,1.70,401,12.15
4901,Cracovia,37062,Ekstraklasa 21/22,21/22,33,71,2.15,2,499,15.12,81,2.45,444,13.45
7295,Radomiak Radom,37062,Ekstraklasa 21/22,21/22,33,71,2.15,4,449,13.61,51,1.55,487,14.76
3108,Śląsk Wrocław,37062,Ekstraklasa 21/22,21/22,33,71,2.15,5,455,13.79,63,1.91,420,12.73
3125,Górnik Łęczna,37062,Ekstraklasa 21/22,21/22,32,70,2.19,4,449,14.03,51,1.59,426,13.31
7922,Warta Poznań,37062,Ekstraklasa 21/22,21/22,33,68,2.06,2,514,15.58,58,1.76,428,12.97
3111,Wisła Kraków,37062,Ekstraklasa 21/22,21/22,33,65,1.97,3,457,13.85,64,1.94,371,11.24
3110,Górnik Zabrze,37062,Ekstraklasa 21/22,21/22,32,64,2.00,1,415,12.97,58,1.81,386,12.06
3117,Pogoń Szczecin,37062,Ekstraklasa 21/22,21/22,33,62,1.88,3,385,11.67,59,1.79,417,12.64
3121,Lech Poznań,37062,Ekstraklasa 21/22,21/22,32,50,1.56,1,406,12.69,49,1.53,341,10.66
7918,Piast Gliwice,37062,Ekstraklasa 21/22,21/22,32,49,1.53,0,397,12.41,57,1.78,463,14.47
3111,Wisła Kraków,29222,Ekstraklasa 20/21,20/21,30,80,2.67,1,429,14.30,53,1.77,478,15.93
7913,KS Lechia Gdańsk,29222,Ekstraklasa 20/21,20/21,30,74,2.47,4,441,14.70,52,1.73,471,15.70
4901,Cracovia,29222,Ekstraklasa 20/21,20/21,30,71,2.37,5,461,15.37,44,1.47,474,15.80
3110,Górnik Zabrze,29222,Ekstraklasa 20/21,20/21,30,65,2.17,0,423,14.10,31,1.03,452,15.07
7691,Jagiellonia Białystok,29222,Ekstraklasa 20/21,20/21,30,65,2.17,5,420,14.00,44,1.47,444,14.80
3113,Zagłębie Lubin,29222,Ekstraklasa 20/21,20/21,30,62,2.07,3,396,13.20,52,1.73,446,14.87
38732,Stal Mielec,29222,Ekstraklasa 20/21,20/21,30,61,2.03,2,368,12.27,40,1.33,442,14.73
7919,Podbeskidzie Bielsko-Biała,29222,Ekstraklasa 20/21,20/21,30,61,2.03,4,446,14.87,46,1.53,430,14.33
3122,Wisła Płock,29222,Ekstraklasa 20/21,20/21,30,59,1.97,1,456,15.20,40,1.33,491,16.37
3117,Pogoń Szczecin,29222,Ekstraklasa 20/21,20/21,30,58,1.93,2,384,12.80,57,1.90,434,14.47
35268,Raków Częstochowa,29222,Ekstraklasa 20/21,20/21,30,57,1.90,2,424,14.13,48,1.60,512,17.07
3106,Legia Warszawa,29222,Ekstraklasa 20/21,20/21,30,54,1.80,0,410,13.67,45,1.50,446,14.87
3121,Lech Poznań,29222,Ekstraklasa 20/21,20/21,30,53,1.77,0,393,13.10,44,1.47,423,14.10
7918,Piast Gliwice,29222,Ekstraklasa 20/21,20/21,30,53,1.77,0,366,12.20,51,1.70,469,15.63
3108,Śląsk Wrocław,29222,Ekstraklasa 20/21,20/21,30,49,1.63,3,437,14.57,41,1.37,454,15.13
7922,Warta Poznań,29222,Ekstraklasa 20/21,20/21,30,42,1.40,2,388,12.93,43,1.43,508,16.93
5065,MKS Korona Kielce,23666,Ekstraklasa 19/20,19/20,37,95,2.57,7,684,18.49,60,1.62,630,17.03
7913,KS Lechia Gdańsk,23666,Ekstraklasa 19/20,19/20,37,91,2.46,5,565,15.27,80,2.16,534,14.43
3123,ŁKS Łódź,23666,Ekstraklasa 19/20,19/20,37,89,2.41,4,580,15.68,41,1.11,699,18.89
7691,Jagiellonia Białystok,23666,Ekstraklasa 19/20,19/20,37,86,2.32,4,503,13.59,63,1.70,654,17.68
4901,Cracovia,23666,Ekstraklasa 19/20,19/20,37,85,2.30,2,557,15.05,48,1.30,655,17.70
5064,MZKS Arka Gdynia,23666,Ekstraklasa 19/20,19/20,37,84,2.27,3,646,17.46,59,1.59,575,15.54
3111,Wisła Kraków,23666,Ekstraklasa 19/20,19/20,37,83,2.24,5,583,15.76,66,1.78,569,15.38
35268,Raków Częstochowa,23666,Ekstraklasa 19/20,19/20,37,76,2.05,2,577,15.59,57,1.54,629,17.00
3110,Górnik Zabrze,23666,Ekstraklasa 19/20,19/20,37,74,2.00,2,578,15.62,67,1.81,576,15.57
3122,Wisła Płock,23666,Ekstraklasa 19/20,19/20,37,72,1.95,0,570,15.41,51,1.38,731,19.76
3106,Legia Warszawa,23666,Ekstraklasa 19/20,19/20,37,70,1.89,2,561,15.16,51,1.38,584,15.78
3121,Lech Poznań,23666,Ekstraklasa 19/20,19/20,37,69,1.86,4,470,12.70,32,0.86,588,15.89
3117,Pogoń Szczecin,23666,Ekstraklasa 19/20,19/20,37,67,1.81,4,531,14.35,43,1.16,678,18.32
3108,Śląsk Wrocław,23666,Ekstraklasa 19/20,19/20,37,65,1.76,4,557,15.05,46,1.24,537,14.51
3113,Zagłębie Lubin,23666,Ekstraklasa 19/20,19/20,37,60,1.62,3,542,14.65,59,1.59,566,15.30
7918,Piast Gliwice,23666,Ekstraklasa 19/20,19/20,37,52,1.41,4,459,12.41,47,1.27,631,17.05
5065,MKS Korona Kielce,17361,Ekstraklasa 18/19,18/19,37,95,2.57,2,631,17.05,67,1.81,633,17.11
7913,KS Lechia Gdańsk,17361,Ekstraklasa 18/19,18/19,37,92,2.49,3,557,15.05,62,1.68,547,14.78
3113,Zagłębie Lubin,17361,Ekstraklasa 18/19,18/19,37,88,2.38,4,518,14.00,83,2.24,620,16.76
7693,Zagłębie Sosnowiec,17361,Ekstraklasa 18/19,18/19,37,81,2.19,6,600,16.22,71,1.92,624,16.86
3122,Wisła Płock,17361,Ekstraklasa 18/19,18/19,37,80,2.16,7,565,15.27,67,1.81,732,19.78
3108,Śląsk Wrocław,17361,Ekstraklasa 18/19,18/19,37,79,2.14,4,547,14.78,105,2.84,624,16.86
3117,Pogoń Szczecin,17361,Ekstraklasa 18/19,18/19,37,78,2.11,2,540,14.59,73,1.97,608,16.43
3106,Legia Warszawa,17361,Ekstraklasa 18/19,18/19,37,77,2.08,4,549,14.84,73,1.97,653,17.65
3110,Górnik Zabrze,17361,Ekstraklasa 18/19,18/19,37,77,2.08,4,567,15.32,102,2.76,583,15.76
4901,Cracovia,17361,Ekstraklasa 18/19,18/19,37,77,2.08,1,567,15.32,48,1.30,675,18.24
7691,Jagiellonia Białystok,17361,Ekstraklasa 18/19,18/19,37,76,2.05,3,504,13.62,52,1.41,629,17.00
5064,MZKS Arka Gdynia,17361,Ekstraklasa 18/19,18/19,37,73,1.97,4,575,15.54,44,1.19,542,14.65
3111,Wisła Kraków,17361,Ekstraklasa 18/19,18/19,37,72,1.95,2,502,13.57,53,1.43,592,16.00
3121,Lech Poznań,17361,Ekstraklasa 18/19,18/19,37,66,1.78,0,495,13.38,42,1.14,652,17.62
35330,Miedź Legnica,17361,Ekstraklasa 18/19,18/19,37,62,1.68,4,540,14.59,49,1.32,518,14.00
7918,Piast Gliwice,17361,Ekstraklasa 18/19,18/19,37,52,1.41,2,520,14.05,53,1.43,589,15.92
3111,Wisła Kraków,13350,Ekstraklasa 17/18,17/18,37,92,2.49,3,559,15.11,65,1.76,577,15.59
3117,Pogoń Szczecin,13350,Ekstraklasa 17/18,17/18,37,88,2.38,3,564,15.24,96,2.59,618,16.70
36766,Sandecja Nowy Sącz,13350,Ekstraklasa 17/18,17/18,37,85,2.30,5,601,16.24,47,1.27,641,17.32
3122,Wisła Płock,13350,Ekstraklasa 17/18,17/18,37,85,2.30,4,581,15.70,39,1.05,633,17.11
5064,MZKS Arka Gdynia,13350,Ekstraklasa 17/18,17/18,37,85,2.30,3,666,18.00,41,1.11,567,15.32
3108,Śląsk Wrocław,13350,Ekstraklasa 17/18,17/18,37,84,2.27,3,559,15.11,83,2.24,619,16.73
7913,KS Lechia Gdańsk,13350,Ekstraklasa 17/18,17/18,37,82,2.22,3,597,16.14,78,2.11,656,17.73
5065,MKS Korona Kielce,13350,Ekstraklasa 17/18,17/18,37,77,2.08,4,600,16.22,78,2.11,655,17.70
7691,Jagiellonia Białystok,13350,Ekstraklasa 17/18,17/18,37,77,2.08,1,469,12.68,59,1.59,578,15.62
4901,Cracovia,13350,Ekstraklasa 17/18,17/18,37,76,2.05,1,496,13.41,45,1.22,691,18.68
3113,Zagłębie Lubin,13350,Ekstraklasa 17/18,17/18,37,74,2.00,3,530,14.32,67,1.81,586,15.84
36851,Bruk-Bet Termalica Nieciecza,13350,Ekstraklasa 17/18,17/18,37,74,2.00,3,577,15.59,41,1.11,535,14.46
3121,Lech Poznań,13350,Ekstraklasa 17/18,17/18,37,72,1.95,4,507,13.70,51,1.38,667,18.03
3110,Górnik Zabrze,13350,Ekstraklasa 17/18,17/18,36,68,1.89,5,567,15.75,81,2.25,614,17.06
3106,Legia Warszawa,13350,Ekstraklasa 17/18,17/18,37,66,1.78,7,473,12.78,72,1.95,652,17.62
7918,Piast Gliwice,13350,Ekstraklasa 17/18,17/18,36,66,1.83,2,508,14.11,49,1.36,558,15.50
7913,KS Lechia Gdańsk,11734,Ekstraklasa 16/17,16/17,37,101,2.73,5,520,14.05,61,1.65,720,19.46
5065,MKS Korona Kielce,11734,Ekstraklasa 16/17,16/17,37,96,2.59,3,579,15.65,58,1.57,585,15.81
3111,Wisła Kraków,11734,Ekstraklasa 16/17,16/17,37,83,2.24,3,567,15.32,61,1.65,595,16.08
3113,Zagłębie Lubin,11734,Ekstraklasa 16/17,16/17,37,76,2.05,1,545,14.73,65,1.76,487,13.16
5064,MZKS Arka Gdynia,11734,Ekstraklasa 16/17,16/17,37,74,2.00,3,628,16.97,37,1.00,639,17.27
7918,Piast Gliwice,11734,Ekstraklasa 16/17,16/17,37,71,1.92,5,553,14.95,61,1.65,541,14.62
3122,Wisła Płock,11734,Ekstraklasa 16/17,16/17,37,71,1.92,3,526,14.22,31,0.84,565,15.27
4901,Cracovia,11734,Ekstraklasa 16/17,16/17,37,69,1.86,1,549,14.84,38,1.03,602,16.27
3117,Pogoń Szczecin,11734,Ekstraklasa 16/17,16/17,37,68,1.84,2,514,13.89,63,1.70,601,16.24
3125,Górnik Łęczna,11734,Ekstraklasa 16/17,16/17,37,68,1.84,6,517,13.97,50,1.35,623,16.84
3106,Legia Warszawa,11734,Ekstraklasa 16/17,16/17,37,67,1.81,4,469,12.68,83,2.24,538,14.54
36851,Bruk-Bet Termalica Nieciecza,11734,Ekstraklasa 16/17,16/17,37,66,1.78,2,512,13.84,38,1.03,526,14.22
7691,Jagiellonia Białystok,11734,Ekstraklasa 16/17,16/17,37,65,1.76,1,522,14.11,33,0.89,547,14.78
3108,Śląsk Wrocław,11734,Ekstraklasa 16/17,16/17,37,62,1.68,4,553,14.95,40,1.08,556,15.03
3121,Lech Poznań,11734,Ekstraklasa 16/17,16/17,37,59,1.59,3,484,13.08,36,0.97,511,13.81
3105,Ruch Chorzów,11734,Ekstraklasa 16/17,16/17,37,50,1.35,4,437,11.81,33,0.89,628,16.97
3108,Śląsk Wrocław,10361,Ekstraklasa 15/16,15/16,36,88,2.44,2,560,15.56,64,1.78,524,14.56
3125,Górnik Łęczna,10361,Ekstraklasa 15/16,15/16,36,82,2.28,6,503,13.97,78,2.17,504,14.00
7919,Podbeskidzie Bielsko-Biała,10361,Ekstraklasa 15/16,15/16,36,77,2.14,6,488,13.56,62,1.72,532,14.78
7913,KS Lechia Gdańsk,10361,Ekstraklasa 15/16,15/16,35,75,2.14,3,454,12.97,64,1.83,667,19.06
3113,Zagłębie Lubin,10361,Ekstraklasa 15/16,15/16,35,75,2.14,2,527,15.06,65,1.86,494,14.11
4901,Cracovia,10361,Ekstraklasa 15/16,15/16,35,72,2.06,1,442,12.63,45,1.29,578,16.51
36851,Bruk-Bet Termalica Nieciecza,10361,Ekstraklasa 15/16,15/16,35,72,2.06,2,481,13.74,32,0.91,605,17.29
3111,Wisła Kraków,10361,Ekstraklasa 15/16,15/16,35,72,2.06,1,477,13.63,43,1.23,519,14.83
3121,Lech Poznań,10361,Ekstraklasa 15/16,15/16,35,71,2.03,1,421,12.03,42,1.20,465,13.29
3110,Górnik Zabrze,10361,Ekstraklasa 15/16,15/16,36,69,1.92,4,511,14.19,42,1.17,521,14.47
3106,Legia Warszawa,10361,Ekstraklasa 15/16,15/16,36,66,1.83,2,478,13.28,108,3.00,587,16.31
7918,Piast Gliwice,10361,Ekstraklasa 15/16,15/16,35,66,1.89,3,486,13.89,77,2.20,514,14.69
5065,MKS Korona Kielce,10361,Ekstraklasa 15/16,15/16,35,63,1.80,1,535,15.29,35,1.00,560,16.00
3117,Pogoń Szczecin,10361,Ekstraklasa 15/16,15/16,36,60,1.67,1,592,16.44,60,1.67,556,15.44
7691,Jagiellonia Białystok,10361,Ekstraklasa 15/16,15/16,35,60,1.71,4,475,13.57,57,1.63,491,14.03
3105,Ruch Chorzów,10361,Ekstraklasa 15/16,15/16,35,45,1.29,7,373,10.66,45,1.29,605,17.29
5065,MKS Korona Kielce,8206,Ekstraklasa 14/15,14/15,37,77,2.08,4,547,14.78,54,1.46,522,14.11
3111,Wisła Kraków,8206,Ekstraklasa 14/15,14/15,37,76,2.05,5,556,15.03,64,1.73,581,15.70
3128,GKS Bełchatów,8206,Ekstraklasa 14/15,14/15,37,74,2.00,4,557,15.05,46,1.24,642,17.35
3121,Lech Poznań,8206,Ekstraklasa 14/15,14/15,37,74,2.00,2,567,15.32,54,1.46,530,14.32
4901,Cracovia,8206,Ekstraklasa 14/15,14/15,37,74,2.00,2,501,13.54,66,1.78,502,13.57
3117,Pogoń Szczecin,8206,Ekstraklasa 14/15,14/15,37,71,1.92,3,586,15.84,60,1.62,592,16.00
7919,Podbeskidzie Bielsko-Biała,8206,Ekstraklasa 14/15,14/15,37,71,1.92,6,549,14.84,51,1.38,652,17.62
3106,Legia Warszawa,8206,Ekstraklasa 14/15,14/15,37,70,1.89,4,461,12.46,77,2.08,641,17.32
3110,Górnik Zabrze,8206,Ekstraklasa 14/15,14/15,37,67,1.81,4,482,13.03,47,1.27,563,15.22
35329,Zawisza Bydgoszcz,8206,Ekstraklasa 14/15,14/15,37,66,1.78,6,515,13.92,45,1.22,593,16.03
3125,Górnik Łęczna,8206,Ekstraklasa 14/15,14/15,37,66,1.78,5,506,13.68,83,2.24,457,12.35
3105,Ruch Chorzów,8206,Ekstraklasa 14/15,14/15,37,65,1.76,2,393,10.62,51,1.38,523,14.14
7913,KS Lechia Gdańsk,8206,Ekstraklasa 14/15,14/15,37,63,1.70,6,504,13.62,52,1.41,673,18.19
3108,Śląsk Wrocław,8206,Ekstraklasa 14/15,14/15,37,62,1.68,3,518,14.00,64,1.73,592,16.00
7691,Jagiellonia Białystok,8206,Ekstraklasa 14/15,14/15,37,59,1.59,3,473,12.78,48,1.30,574,15.51
7918,Piast Gliwice,8206,Ekstraklasa 14/15,14/15,37,51,1.38,1,506,13.68,60,1.62,506,13.68
3111,Wisła Kraków,6261,Ekstraklasa 13/14,13/14,37,65,1.76,3,388,10.49,69,1.86,377,10.19
3117,Pogoń Szczecin,6261,Ekstraklasa 13/14,13/14,37,62,1.68,5,404,10.92,60,1.62,396,10.70
5065,MKS Korona Kielce,6261,Ekstraklasa 13/14,13/14,37,61,1.65,9,434,11.73,58,1.57,364,9.84
3121,Lech Poznań,6261,Ekstraklasa 13/14,13/14,37,58,1.57,4,419,11.32,44,1.19,336,9.08
7919,Podbeskidzie Bielsko-Biała,6261,Ekstraklasa 13/14,13/14,37,56,1.51,1,380,10.27,37,1.00,411,11.11
7913,KS Lechia Gdańsk,6261,Ekstraklasa 13/14,13/14,37,53,1.43,4,350,9.46,40,1.08,421,11.38
3113,Zagłębie Lubin,6261,Ekstraklasa 13/14,13/14,37,51,1.38,4,319,8.62,36,0.97,379,10.24
3108,Śląsk Wrocław,6261,Ekstraklasa 13/14,13/14,37,50,1.35,2,345,9.32,47,1.27,416,11.24
3110,Górnik Zabrze,6261,Ekstraklasa 13/14,13/14,37,49,1.32,4,339,9.16,39,1.05,414,11.19
7691,Jagiellonia Białystok,6261,Ekstraklasa 13/14,13/14,36,48,1.33,5,358,9.94,30,0.83,485,13.47
35329,Zawisza Bydgoszcz,6261,Ekstraklasa 13/14,13/14,37,46,1.24,6,386,10.43,40,1.08,464,12.54
3106,Legia Warszawa,6261,Ekstraklasa 13/14,13/14,36,45,1.25,3,390,10.83,58,1.61,505,14.03
4901,Cracovia,6261,Ekstraklasa 13/14,13/14,37,44,1.19,3,284,7.68,42,1.14,322,8.70
7918,Piast Gliwice,6261,Ekstraklasa 13/14,13/14,37,43,1.16,2,409,11.05,38,1.03,362,9.78
3115,Widzew Łódź,6261,Ekstraklasa 13/14,13/14,37,42,1.14,6,307,8.30,18,0.49,359,9.70
3105,Ruch Chorzów,6261,Ekstraklasa 13/14,13/14,37,30,0.81,1,338,9.14,31,0.84,428,11.57
7919,Podbeskidzie Bielsko-Biała,4634,Ekstraklasa 12/13,12/13,30,0,0.00,0,0,0.00,0,0.00,0,0.00
3105,Ruch Chorzów,4634,Ekstraklasa 12/13,12/13,30,0,0.00,0,0,0.00,0,0.00,0,0.00
3106,Legia Warszawa,4634,Ekstraklasa 12/13,12/13,30,0,0.00,0,0,0.00,0,0.00,0,0.00
3108,Śląsk Wrocław,4634,Ekstraklasa 12/13,12/13,30,0,0.00,0,0,0.00,0,0.00,0,0.00
3110,Górnik Zabrze,4634,Ekstraklasa 12/13,12/13,30,0,0.00,0,0,0.00,0,0.00,0,0.00
3111,Wisła Kraków,4634,Ekstraklasa 12/13,12/13,30,0,0.00,0,0,0.00,0,0.00,0,0.00
3113,Zagłębie Lubin,4634,Ekstraklasa 12/13,12/13,30,0,0.00,0,0,0.00,0,0.00,0,0.00
